"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","7","14","2","0"
"05-09","12","15","0","0"
"10-14","15","10","3","0"
"15-19","52","44","3","0"
"20-24","100","84","4","0"
"25-29","124","112","12","0"
"30-34","94","107","8","0"
"35-39","109","77","5","0"
"40-44","90","90","8","0"
"45-49","101","106","17","2"
"50-54","169","155","22","0"
"55-59","164","172","40","4"
"60-64","97","95","40","4"
"65-69","73","71","45","8"
"70-74","64","60","41","13"
"75-79","87","73","75","23"
"80-84","95","81","88","29"
"85-89","56","29","39","20"
"90+","57","15","24","22"

"Datenstand 13.05.2020 19:31:28"
