"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","191,58","599","+1","125","+1","37",""
"Stormarn","OD","167,44","406","","48","","27",""
"Segeberg","SE","108,02","296","","36","","3",""
"Kiel","KI","112,12","278","","64","","9",""
"Herzogtum Lauenburg","RZ","135,66","266","","46","","13",""
"Rendsburg-Eckernförde","RD","92,30","252","","45","","14",""
"Steinburg","IZ","129,93","171","","19","","3",""
"Lübeck","HL","76,28","165","","8","","1",""
"Schleswig-Flensburg","SL","63,66","127","","12","","3",""
"Plön","PLO","93,14","120","","27","","8",""
"Nordfriesland","NF","50,77","84","","13","","1",""
"Neumünster","NMS","99,58","79","","9","","2",""
"Ostholstein","OH","32,90","66","","6","","0",""
"Dithmarschen","HEI","44,21","59","","13","","3",""
"Flensburg","FL","38,41","34","+1","6","","2",""
"-"
"Schleswig-Holstein","SH","103,88","3.002","+2","477","+1","126",""

"Datenstand 17.05.2020 19:43:04"
