"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","192,54","602","","129","","46",""
"Stormarn","OD","174,87","424","","51","","33",""
"Segeberg","SE","121,52","333","","42","","7",""
"Kiel","KI","115,75","287","+2","66","","10",""
"Herzogtum Lauenburg","RZ","137,19","269","+1","47","","16",""
"Rendsburg-Eckernförde","RD","93,77","256","","47","","14",""
"Steinburg","IZ","139,04","183","+1","23","","3",""
"Lübeck","HL","78,13","169","","9","","1",""
"Schleswig-Flensburg","SL","79,70","159","","18","","4",""
"Plön","PLO","93,14","120","","27","","8",""
"Nordfriesland","NF","53,79","89","","13","","1",""
"Neumünster","NMS","98,32","78","","9","","2",""
"Dithmarschen","HEI","55,45","74","+1","15","","4",""
"Ostholstein","OH","33,90","68","","7","","0",""
"Flensburg","FL","54,23","48","","6","","3",""
"-"
"Schleswig-Holstein","SH","109,31","3.159","+5","509","","152",""

"Datenstand 30.06.2020 19:44:24"
