"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","25","38","4","0"
"05-09","45","44","3","0"
"10-14","55","55","4","0"
"15-19","95","75","4","0"
"20-24","154","148","7","0"
"25-29","175","162","15","0"
"30-34","143","148","14","0"
"35-39","151","122","8","0"
"40-44","136","129","14","0"
"45-49","136","151","21","3"
"50-54","206","189","25","0"
"55-59","192","207","48","6"
"60-64","111","112","43","8"
"65-69","80","84","49","10"
"70-74","72","71","48","18"
"75-79","103","80","89","26"
"80-84","104","95","102","37"
"85-89","68","35","48","26"
"90+","72","20","28","27"

"Datenstand 02.09.2020 19:13:27"
