"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","7","15","2","0"
"05-09","12","15","1","0"
"10-14","14","13","3","0"
"15-19","53","45","3","0"
"20-24","105","89","4","0"
"25-29","127","116","13","0"
"30-34","99","110","8","0"
"35-39","113","79","5","0"
"40-44","95","92","7","0"
"45-49","106","109","18","3"
"50-54","173","158","23","0"
"55-59","172","178","42","6"
"60-64","100","98","40","5"
"65-69","74","71","45","9"
"70-74","65","62","42","15"
"75-79","92","74","80","25"
"80-84","100","87","94","34"
"85-89","60","33","41","23"
"90+","64","16","24","25"

"Datenstand 30.05.2020 19:50:33"
