"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","197,66","618","","130","","46",""
"Stormarn","OD","178,58","433","","50","","34",""
"Segeberg","SE","128,09","351","","43","","7",""
"Kiel","KI","124,22","308","","68","","10",""
"Herzogtum Lauenburg","RZ","138,21","271","","48","","17",""
"Rendsburg-Eckernförde","RD","95,60","261","+2","46","","14",""
"Steinburg","IZ","143,60","189","","24","","3",""
"Lübeck","HL","82,75","179","","10","","1",""
"Schleswig-Flensburg","SL","80,70","161","+1","19","+1","4",""
"Plön","PLO","95,47","123","+2","27","","8",""
"Nordfriesland","NF","55,60","92","","15","","2",""
"Neumünster","NMS","104,62","83","+5","10","+1","2",""
"Dithmarschen","HEI","57,70","77","","17","","4",""
"Ostholstein","OH","38,39","77","","7","","0",""
"Flensburg","FL","54,23","48","","6","","3",""
"-"
"Schleswig-Holstein","SH","113,19","3.271","+10","520","+2","155",""

"Datenstand 20.07.2020 18:08:29"
