"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","9","16","3","0"
"05-09","12","16","1","0"
"10-14","14","14","3","0"
"15-19","56","45","3","0"
"20-24","112","90","4","0"
"25-29","127","117","13","0"
"30-34","102","113","10","0"
"35-39","116","81","5","0"
"40-44","97","93","7","0"
"45-49","107","112","18","3"
"50-54","176","160","24","0"
"55-59","177","185","45","6"
"60-64","102","100","41","6"
"65-69","74","73","45","9"
"70-74","66","64","44","18"
"75-79","93","74","80","25"
"80-84","100","90","97","36"
"85-89","61","35","44","24"
"90+","66","18","23","25"

"Datenstand 01.07.2020 18:38:50"
