"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","185,82","581","","108","","29",""
"Stormarn","OD","160,43","389","","36","","19",""
"Herzogtum Lauenburg","RZ","129,54","254","","42","","8",""
"Kiel","KI","102,04","253","","58","","7",""
"Plön","PLO","89,26","115","","27","","6","+1"
"Rendsburg-Eckernförde","RD","84,24","230","","42","","14",""
"Segeberg","SE","82,47","226","","31","","4",""
"Neumünster","NMS","78,15","62","","7","","1",""
"Lübeck","HL","73,50","159","","8","","1",""
"Schleswig-Flensburg","SL","62,66","125","","12","","3",""
"Steinburg","IZ","62,30","82","","17","","3",""
"Nordfriesland","NF","47,75","79","","11","","1",""
"Dithmarschen","HEI","40,47","54","","9","","3",""
"Flensburg","FL","36,15","32","","6","","2",""
"Ostholstein","OH","31,41","63","","6","","0",""
"-"
"Schleswig-Holstein","SH","93,57","2.704","","420","","101","+1"

"Datenstand 27.04.2020 13:01:08"
