"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","187,74","587","-1","121","","37",""
"Stormarn","OD","166,62","404","","45","+2","27",""
"Segeberg","SE","103,28","283","+2","35","","3",""
"Kiel","KI","111,72","277","+1","64","-1","9",""
"Herzogtum Lauenburg","RZ","135,15","265","+1","45","","12","+1"
"Rendsburg-Eckernförde","RD","90,84","248","","45","","14",""
"Steinburg","IZ","125,37","165","-3","19","","3",""
"Lübeck","HL","76,28","165","","8","","1",""
"Schleswig-Flensburg","SL","63,66","127","","12","","3",""
"Plön","PLO","93,14","120","","27","","8",""
"Nordfriesland","NF","48,95","81","","13","","1",""
"Neumünster","NMS","94,54","75","","8","","2",""
"Ostholstein","OH","32,90","66","","6","","0",""
"Dithmarschen","HEI","44,21","59","","13","","3",""
"Flensburg","FL","37,28","33","","6","","2",""
"-"
"Schleswig-Holstein","SH","102,26","2.955","","467","+1","125","+1"

"Datenstand 11.05.2020 20:06:16"
