"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","193,82","606","","130","","46",""
"Stormarn","OD","178,58","433","","50","","34",""
"Segeberg","SE","125,90","345","+7","42","","7",""
"Kiel","KI","119,79","297","","66","","10",""
"Herzogtum Lauenburg","RZ","137,19","269","","47","","17",""
"Rendsburg-Eckernförde","RD","94,50","258","+1","46","","14",""
"Steinburg","IZ","143,60","189","+1","24","+1","3",""
"Lübeck","HL","81,82","177","","9","","1",""
"Schleswig-Flensburg","SL","80,20","160","","18","","4",""
"Plön","PLO","93,91","121","","27","","8",""
"Nordfriesland","NF","54,39","90","+1","14","+1","1",""
"Neumünster","NMS","98,32","78","","9","","2",""
"Dithmarschen","HEI","57,70","77","","17","","4",""
"Ostholstein","OH","36,39","73","+4","7","","0",""
"Flensburg","FL","54,23","48","","6","","3",""
"-"
"Schleswig-Holstein","SH","111,46","3.221","+14","512","+2","154",""

"Datenstand 13.07.2020 18:48:53"
