"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","11","16","3","0"
"05-09","15","20","2","0"
"10-14","21","17","3","0"
"15-19","60","47","4","0"
"20-24","113","93","4","0"
"25-29","129","120","13","0"
"30-34","106","116","10","0"
"35-39","116","84","5","0"
"40-44","104","94","8","0"
"45-49","107","120","20","3"
"50-54","177","161","24","0"
"55-59","178","188","44","6"
"60-64","103","100","40","7"
"65-69","75","73","46","9"
"70-74","66","64","44","18"
"75-79","94","75","80","26"
"80-84","100","90","97","36"
"85-89","61","36","45","24"
"90+","67","18","23","25"

"Datenstand 15.07.2020 20:07:40"
