"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","234,12","732","+5","134","","47",""
"Stormarn","OD","217,34","527","+5","53","","35",""
"Kiel","KI","170,60","423","+1","78","","11",""
"Segeberg","SE","144,15","395","+4","44","","7",""
"Rendsburg-Eckernförde","RD","117,94","322","","50","","14",""
"Herzogtum Lauenburg","RZ","152,49","299","+4","50","","18",""
"Lübeck","HL","100,78","218","+10","11","","1",""
"Steinburg","IZ","150,44","198","","25","","3",""
"Schleswig-Flensburg","SL","88,22","176","+1","20","","4",""
"Plön","PLO","117,97","152","","35","","8",""
"Dithmarschen","HEI","112,40","150","+2","25","","4",""
"Nordfriesland","NF","61,04","101","","16","","2",""
"Neumünster","NMS","127,31","101","","10","","3",""
"Ostholstein","OH","46,86","94","+1","12","","0",""
"Flensburg","FL","81,34","72","","6","","3",""
"-"
"Schleswig-Holstein","SH","137,03","3.960","+33","569","","160",""

"Datenstand 25.08.2020 18:58:40"
