"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","182,95","572","+5","117","+1","36","+2"
"Stormarn","OD","164,14","398","+3","42","+1","26",""
"Kiel","KI","110,51","274","+1","64","","9",""
"Herzogtum Lauenburg","RZ","134,64","264","+1","45","","11",""
"Segeberg","SE","92,33","253","+14","34","","3",""
"Rendsburg-Eckernförde","RD","88,64","242","+3","45","","14",""
"Lübeck","HL","76,28","165","","8","","1",""
"Steinburg","IZ","103,33","136","","19","","3",""
"Schleswig-Flensburg","SL","63,66","127","+1","12","","3",""
"Plön","PLO","92,36","119","","27","","8",""
"Nordfriesland","NF","48,95","81","","13","","1",""
"Neumünster","NMS","86,97","69","","8","","2",""
"Ostholstein","OH","32,90","66","","6","","0",""
"Dithmarschen","HEI","44,21","59","","13","","3",""
"Flensburg","FL","37,28","33","","6","","2",""
"-"
"Schleswig-Holstein","SH","98,90","2.858","+28","459","+2","122","+2"

"Datenstand 07.05.2020 20:47:58"
