"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","239,51","753","+3","136","+1","47",""
"Stormarn","OD","224,10","545","","53","","35",""
"Kiel","KI","175,72","435","+2","78","-1","11",""
"Segeberg","SE","149,98","414","+3","45","+1","7",""
"Rendsburg-Eckernförde","RD","121,71","332","+1","51","+1","14",""
"Herzogtum Lauenburg","RZ","160,70","317","","51","","18",""
"Lübeck","HL","104,05","226","","11","","1",""
"Steinburg","IZ","152,27","200","","25","","3",""
"Schleswig-Flensburg","SL","88,49","177","","20","","4",""
"Dithmarschen","HEI","116,36","155","+3","25","","5",""
"Plön","PLO","119,71","154","","35","","8",""
"Neumünster","NMS","140,90","112","","10","","3",""
"Nordfriesland","NF","66,46","110","+1","16","","2",""
"Ostholstein","OH","47,86","96","","14","","0",""
"Flensburg","FL","90,50","81","+4","6","","3",""
"-"
"Schleswig-Holstein","SH","141,78","4.107","+17","576","+2","161",""

"Datenstand 03.09.2020 18:40:20"
