"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","7","14","2","0"
"05-09","12","15","1","0"
"10-14","15","11","3","0"
"15-19","53","44","3","0"
"20-24","104","87","4","0"
"25-29","126","115","13","0"
"30-34","98","110","8","0"
"35-39","113","79","5","0"
"40-44","93","92","7","0"
"45-49","104","109","18","2"
"50-54","172","158","23","0"
"55-59","170","177","41","6"
"60-64","100","95","40","4"
"65-69","73","71","45","9"
"70-74","65","60","41","14"
"75-79","90","74","78","24"
"80-84","99","86","93","31"
"85-89","58","32","40","22"
"90+","62","16","24","24"

"Datenstand 22.05.2020 19:44:52"
