"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","20","32","3","0"
"05-09","40","38","3","0"
"10-14","51","51","4","0"
"15-19","84","69","4","0"
"20-24","138","127","7","0"
"25-29","164","143","14","0"
"30-34","134","137","14","0"
"35-39","146","115","8","0"
"40-44","128","124","14","0"
"45-49","129","144","21","3"
"50-54","197","181","24","0"
"55-59","188","201","47","6"
"60-64","108","109","43","7"
"65-69","79","83","49","10"
"70-74","70","70","48","18"
"75-79","99","79","87","26"
"80-84","102","95","102","37"
"85-89","67","35","48","26"
"90+","72","19","28","27"

"Datenstand 20.08.2020 20:34:06"
