"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","226,44","708","","133","","47",""
"Stormarn","OD","206,21","500","","53","","34",""
"Kiel","KI","157,29","390","+4","77","+1","10",""
"Segeberg","SE","137,58","377","","44","","7",""
"Rendsburg-Eckernförde","RD","115,01","314","","50","","14",""
"Herzogtum Lauenburg","RZ","148,92","292","","50","","18",""
"Lübeck","HL","91,53","198","","11","","1",""
"Steinburg","IZ","148,16","195","","25","","3",""
"Schleswig-Flensburg","SL","85,71","171","","20","","4",""
"Plön","PLO","117,20","151","","35","","8",""
"Dithmarschen","HEI","107,91","144","+4","25","+1","4",""
"Nordfriesland","NF","59,23","98","","16","","2",""
"Neumünster","NMS","121,01","96","","10","","3",""
"Ostholstein","OH","45,37","91","","12","","0",""
"Flensburg","FL","73,43","65","","6","","3",""
"-"
"Schleswig-Holstein","SH","131,15","3.790","+8","567","+2","158",""

"Datenstand 16.08.2020 20:43:05"
