"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","25","38","3","0"
"05-09","45","44","3","0"
"10-14","55","56","4","0"
"15-19","94","75","4","0"
"20-24","156","150","7","0"
"25-29","176","162","15","0"
"30-34","145","150","14","0"
"35-39","151","122","9","0"
"40-44","137","130","15","0"
"45-49","137","153","21","3"
"50-54","206","191","25","0"
"55-59","195","207","49","6"
"60-64","111","112","43","8"
"65-69","80","87","50","10"
"70-74","72","71","48","18"
"75-79","104","81","89","26"
"80-84","105","95","102","37"
"85-89","68","35","48","26"
"90+","72","20","28","27"

"Datenstand 04.09.2020 19:02:44"
