"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","211,73","662","+2","130","","47",""
"Stormarn","OD","195,90","475","+5","51","","34",""
"Segeberg","SE","131,01","359","","44","","7",""
"Kiel","KI","138,34","343","+5","73","-1","10",""
"Herzogtum Lauenburg","RZ","145,35","285","+3","50","+1","18","+1"
"Rendsburg-Eckernförde","RD","103,65","283","+2","49","","14",""
"Steinburg","IZ","144,36","190","","24","","3",""
"Lübeck","HL","85,52","185","","10","","1",""
"Schleswig-Flensburg","SL","82,71","165","","19","","4",""
"Plön","PLO","107,11","138","","32","","8",""
"Dithmarschen","HEI","95,17","127","+1","23","","4",""
"Nordfriesland","NF","57,41","95","","16","","2",""
"Ostholstein","OH","42,87","86","","12","","0",""
"Neumünster","NMS","105,88","84","","10","","3",""
"Flensburg","FL","64,39","57","","6","","3",""
"-"
"Schleswig-Holstein","SH","122,29","3.534","+18","549","","158","+1"

"Datenstand 05.08.2020 18:48:23"
