"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","11","16","3","0"
"05-09","15","18","1","0"
"10-14","20","17","3","0"
"15-19","59","47","3","0"
"20-24","112","92","4","0"
"25-29","129","120","13","0"
"30-34","104","114","10","0"
"35-39","116","84","5","0"
"40-44","103","94","7","0"
"45-49","108","117","20","3"
"50-54","177","161","24","0"
"55-59","178","188","44","6"
"60-64","103","100","40","7"
"65-69","75","73","46","9"
"70-74","66","64","44","18"
"75-79","94","75","80","26"
"80-84","100","90","97","36"
"85-89","61","36","45","24"
"90+","66","18","23","25"

"Datenstand 13.07.2020 18:48:53"
