"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","191,58","599","","129","","44",""
"Stormarn","OD","171,98","417","+1","52","","32",""
"Segeberg","SE","118,24","324","+9","37","","5","+1"
"Kiel","KI","112,12","278","","64","","9",""
"Herzogtum Lauenburg","RZ","134,64","264","","47","","16",""
"Rendsburg-Eckernförde","RD","93,03","254","","46","","14",""
"Steinburg","IZ","135,24","178","","21","","3",""
"Lübeck","HL","77,20","167","","8","","1",""
"Schleswig-Flensburg","SL","77,69","155","+1","16","+1","4",""
"Plön","PLO","93,14","120","","27","","8",""
"Nordfriesland","NF","51,37","85","","13","","1",""
"Neumünster","NMS","99,58","79","","9","","2",""
"Ostholstein","OH","33,90","68","","7","","0",""
"Dithmarschen","HEI","44,21","59","","13","","3",""
"Flensburg","FL","46,32","41","+1","6","","3",""
"-"
"Schleswig-Holstein","SH","106,86","3.088","+12","495","+1","145","+1"

"Datenstand 29.05.2020 21:16:53"
