"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","191,58","599","","129","","43","+1"
"Stormarn","OD","170,33","413","","51","","30",""
"Segeberg","SE","114,59","314","+2","37","","4",""
"Kiel","KI","112,12","278","","64","","9",""
"Herzogtum Lauenburg","RZ","134,64","264","-2","47","","16","+1"
"Rendsburg-Eckernförde","RD","92,30","252","","45","","14",""
"Steinburg","IZ","132,21","174","+3","20","+1","3",""
"Lübeck","HL","77,20","167","","8","","1",""
"Schleswig-Flensburg","SL","77,19","154","","15","","3",""
"Plön","PLO","93,14","120","","27","","8",""
"Nordfriesland","NF","51,37","85","","13","","1",""
"Neumünster","NMS","99,58","79","","9","","2",""
"Ostholstein","OH","33,90","68","","7","","0",""
"Dithmarschen","HEI","44,21","59","","13","","3",""
"Flensburg","FL","44,06","39","","6","","2",""
"-"
"Schleswig-Holstein","SH","106,06","3.065","+3","491","+1","139","+2"

"Datenstand 25.05.2020 19:59:46"
