"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","196,06","613","","130","","46",""
"Stormarn","OD","178,58","433","","50","","34",""
"Segeberg","SE","128,09","351","","43","","7",""
"Kiel","KI","123,01","305","","67","","10",""
"Herzogtum Lauenburg","RZ","138,21","271","","48","","17",""
"Rendsburg-Eckernförde","RD","94,86","259","+1","46","","14",""
"Steinburg","IZ","143,60","189","","24","","3",""
"Lübeck","HL","82,75","179","","10","","1",""
"Schleswig-Flensburg","SL","80,20","160","","18","","4",""
"Plön","PLO","93,91","121","","27","","8",""
"Nordfriesland","NF","55,60","92","","15","","1",""
"Neumünster","NMS","98,32","78","","9","","2",""
"Dithmarschen","HEI","57,70","77","","17","","4",""
"Ostholstein","OH","38,39","77","+1","7","","0",""
"Flensburg","FL","54,23","48","","6","","3",""
"-"
"Schleswig-Holstein","SH","112,57","3.253","+2","517","","154",""

"Datenstand 18.07.2020 20:24:03"
