"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","199,58","624","+3","130","","46",""
"Stormarn","OD","178,99","434","+1","50","","34",""
"Segeberg","SE","128,46","352","+1","43","","7",""
"Kiel","KI","125,43","311","+3","68","","10",""
"Herzogtum Lauenburg","RZ","138,72","272","","48","","17",""
"Rendsburg-Eckernförde","RD","95,60","261","","46","","14",""
"Steinburg","IZ","143,60","189","","24","","3",""
"Lübeck","HL","82,75","179","","10","","1",""
"Schleswig-Flensburg","SL","80,70","161","","19","","4",""
"Plön","PLO","96,24","124","+1","27","","8",""
"Nordfriesland","NF","55,60","92","","15","","2",""
"Neumünster","NMS","104,62","83","","10","","2",""
"Dithmarschen","HEI","60,70","81","+3","17","","4",""
"Ostholstein","OH","40,38","81","+2","7","","0",""
"Flensburg","FL","54,23","48","","6","","3",""
"-"
"Schleswig-Holstein","SH","113,92","3.292","+14","520","","155",""

"Datenstand 22.07.2020 19:13:23"
