"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","7","14","2","0"
"05-09","12","15","0","0"
"10-14","12","10","3","0"
"15-19","50","44","3","0"
"20-24","98","82","4","0"
"25-29","124","109","12","0"
"30-34","92","107","9","0"
"35-39","107","77","5","0"
"40-44","87","90","8","0"
"45-49","101","105","17","2"
"50-54","169","156","22","0"
"55-59","163","171","39","4"
"60-64","94","95","38","4"
"65-69","72","69","43","8"
"70-74","64","60","40","13"
"75-79","85","72","71","23"
"80-84","95","80","88","29"
"85-89","56","29","38","20"
"90+","57","15","24","21"

"Datenstand 10.05.2020 20:44:46"
