"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","232,20","726","+5","133","","47",""
"Stormarn","OD","213,22","517","","53","","35",""
"Kiel","KI","168,99","419","+1","78","","11",""
"Segeberg","SE","142,69","391","+2","44","","7",""
"Rendsburg-Eckernförde","RD","116,47","318","+1","50","","14",""
"Herzogtum Lauenburg","RZ","149,94","294","","50","","18",""
"Lübeck","HL","96,15","208","","11","","1",""
"Steinburg","IZ","149,68","197","","25","","3",""
"Schleswig-Flensburg","SL","86,72","173","","20","","4",""
"Plön","PLO","117,97","152","","35","","8",""
"Dithmarschen","HEI","109,41","146","","25","","4",""
"Nordfriesland","NF","61,04","101","+1","16","","2",""
"Neumünster","NMS","123,53","98","+1","10","","3",""
"Ostholstein","OH","46,36","93","+1","12","","0",""
"Flensburg","FL","77,95","69","","6","","3",""
"-"
"Schleswig-Holstein","SH","135,03","3.902","+12","568","","160",""

"Datenstand 22.08.2020 20:42:15"
