"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","192,22","601","","129","","46",""
"Stormarn","OD","175,69","426","","50","","33",""
"Segeberg","SE","122,62","336","","42","","7",""
"Kiel","KI","118,58","294","","66","","10",""
"Herzogtum Lauenburg","RZ","137,19","269","","47","","16",""
"Rendsburg-Eckernförde","RD","94,13","257","","46","","14",""
"Steinburg","IZ","139,04","183","","23","","3",""
"Lübeck","HL","79,97","173","","9","","1",""
"Schleswig-Flensburg","SL","79,70","159","","18","","4",""
"Plön","PLO","93,91","121","+1","27","","8",""
"Nordfriesland","NF","53,79","89","","13","","1",""
"Neumünster","NMS","98,32","78","","9","","2",""
"Dithmarschen","HEI","56,95","76","+1","16","","4",""
"Ostholstein","OH","33,90","68","","7","","0",""
"Flensburg","FL","54,23","48","","6","","3",""
"-"
"Schleswig-Holstein","SH","109,97","3.178","+2","508","","152",""

"Datenstand 03.07.2020 17:31:48"
