"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","222,28","695","+4","132","","47",""
"Stormarn","OD","202,09","490","+1","52","","34",""
"Segeberg","SE","136,85","375","+6","44","","7",""
"Kiel","KI","149,23","370","+10","74","","10",""
"Rendsburg-Eckernförde","RD","112,81","308","+5","49","","14",""
"Herzogtum Lauenburg","RZ","148,41","291","+1","50","","18",""
"Steinburg","IZ","147,40","194","+4","25","+1","3",""
"Lübeck","HL","89,22","193","+5","10","","1",""
"Schleswig-Flensburg","SL","85,21","170","","20","","4",""
"Plön","PLO","114,09","147","+1","35","","8",""
"Dithmarschen","HEI","104,16","139","+1","23","","4",""
"Nordfriesland","NF","58,62","97","","16","","2",""
"Neumünster","NMS","119,75","95","","10","","3",""
"Ostholstein","OH","43,87","88","","12","","0",""
"Flensburg","FL","70,04","62","+1","6","","3",""
"-"
"Schleswig-Holstein","SH","128,52","3.714","+39","558","+1","158",""

"Datenstand 12.08.2020 19:10:07"
