"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","10","13","2","0"
"05-09","15","13","0","0"
"10-14","10","10","3","0"
"15-19","48","35","3","0"
"20-24","95","72","4","0"
"25-29","119","89","11","0"
"30-34","84","89","8","0"
"35-39","98","70","4","0"
"40-44","83","74","6","0"
"45-49","92","80","14","2"
"50-54","157","144","18","0"
"55-59","149","157","30","3"
"60-64","92","88","35","2"
"65-69","69","64","38","6"
"70-74","62","56","39","11"
"75-79","80","70","67","20"
"80-84","89","78","84","25"
"85-89","48","28","33","16"
"90+","50","11","20","16"

"Datenstand 27.04.2020 13:01:08"
