"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","236,68","740","+1","135","","47",""
"Stormarn","OD","219,41","532","+1","53","","35",""
"Kiel","KI","173,02","429","+1","79","","11",""
"Segeberg","SE","147,07","403","+1","44","","7",""
"Rendsburg-Eckernförde","RD","119,77","327","+3","50","","14",""
"Herzogtum Lauenburg","RZ","156,06","306","+1","50","","18",""
"Lübeck","HL","103,55","224","+6","11","","1",""
"Steinburg","IZ","151,20","199","","25","","3",""
"Schleswig-Flensburg","SL","88,72","177","","20","","4",""
"Plön","PLO","118,75","153","","35","","8",""
"Dithmarschen","HEI","113,15","151","","25","","4",""
"Nordfriesland","NF","62,85","104","","16","","2",""
"Neumünster","NMS","129,83","103","+1","10","","3",""
"Ostholstein","OH","46,86","94","","12","","0",""
"Flensburg","FL","81,34","72","","6","","3",""
"-"
"Schleswig-Holstein","SH","138,90","4.014","+15","571","","160",""

"Datenstand 28.08.2020 19:17:43"
