"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","203,09","635","+3","130","","47","+1"
"Stormarn","OD","180,23","437","+2","50","","34",""
"Segeberg","SE","129,19","354","","44","","7",""
"Kiel","KI","126,64","314","","68","","10",""
"Herzogtum Lauenburg","RZ","140,25","275","+1","49","","17",""
"Rendsburg-Eckernförde","RD","96,70","264","+2","46","","14",""
"Steinburg","IZ","143,60","189","","24","","3",""
"Lübeck","HL","83,67","181","+2","10","","1",""
"Schleswig-Flensburg","SL","80,70","161","","19","","4",""
"Plön","PLO","97,02","125","","28","","8",""
"Dithmarschen","HEI","72,69","97","+8","22","+1","4",""
"Nordfriesland","NF","55,60","92","","15","","2",""
"Neumünster","NMS","104,62","83","","10","","2",""
"Ostholstein","OH","40,88","82","+1","8","","0",""
"Flensburg","FL","58,74","52","","6","","3",""
"-"
"Schleswig-Holstein","SH","115,61","3.341","+19","529","+1","156","+1"

"Datenstand 27.07.2020 19:37:45"
