"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","180,07","563","+2","115","+2","34","+1"
"Stormarn","OD","162,49","394","","40","","25","+2"
"Kiel","KI","108,90","270","+5","62","","9",""
"Herzogtum Lauenburg","RZ","133,11","261","","43","+1","10","+1"
"Rendsburg-Eckernförde","RD","86,07","235","","44","","14",""
"Segeberg","SE","83,20","228","+2","33","","3",""
"Lübeck","HL","76,74","166","+1","8","","1",""
"Steinburg","IZ","100,29","132","","18","","3",""
"Schleswig-Flensburg","SL","63,16","126","","12","","3",""
"Plön","PLO","92,36","119","","27","","8",""
"Nordfriesland","NF","48,35","80","","12","","1",""
"Neumünster","NMS","84,45","67","","7","","2","+1"
"Ostholstein","OH","32,90","66","","6","","0",""
"Dithmarschen","HEI","41,21","55","+1","10","+1","3",""
"Flensburg","FL","36,15","32","","6","","2",""
"-"
"Schleswig-Holstein","SH","96,68","2.794","+11","443","+4","118","+5"

"Datenstand 04.05.2020 23:53:21"
