"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","10","16","3","0"
"05-09","13","17","1","0"
"10-14","20","15","3","0"
"15-19","58","45","3","0"
"20-24","112","90","4","0"
"25-29","127","119","13","0"
"30-34","102","114","10","0"
"35-39","116","84","5","0"
"40-44","99","93","7","0"
"45-49","107","114","18","3"
"50-54","177","160","24","0"
"55-59","178","186","44","6"
"60-64","102","100","40","6"
"65-69","74","73","45","9"
"70-74","66","64","44","18"
"75-79","93","74","80","25"
"80-84","100","90","97","36"
"85-89","61","35","44","24"
"90+","66","18","23","25"

"Datenstand 06.07.2020 20:48:34"
