"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","238,56","750","+3","135","","47",""
"Stormarn","OD","224,10","545","+6","53","","35",""
"Kiel","KI","174,92","433","","79","","11",""
"Segeberg","SE","148,90","411","+2","44","","7",""
"Rendsburg-Eckernförde","RD","121,35","331","+3","50","","14",""
"Herzogtum Lauenburg","RZ","160,70","317","+3","51","","18",""
"Lübeck","HL","104,05","226","+1","11","","1",""
"Steinburg","IZ","152,27","200","","25","","3",""
"Schleswig-Flensburg","SL","88,49","177","","20","","4",""
"Plön","PLO","119,71","154","","35","","8",""
"Dithmarschen","HEI","114,11","152","","25","","5","+1"
"Neumünster","NMS","140,90","112","+6","10","","3",""
"Nordfriesland","NF","65,86","109","","16","","2",""
"Ostholstein","OH","47,86","96","+2","14","+2","0",""
"Flensburg","FL","86,03","77","+1","6","","3",""
"-"
"Schleswig-Holstein","SH","141,19","4.090","+27","574","+2","161","+1"

"Datenstand 02.09.2020 19:13:27"
