"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","243,33","765","+7","137","","47",""
"Stormarn","OD","228,21","555","+2","54","","35",""
"Kiel","KI","177,74","440","+4","78","","11",""
"Segeberg","SE","152,52","421","+2","45","","7",""
"Rendsburg-Eckernförde","RD","122,81","335","+1","52","+1","14",""
"Herzogtum Lauenburg","RZ","161,71","319","","51","","18",""
"Lübeck","HL","107,28","233","","11","","1",""
"Steinburg","IZ","153,03","201","","25","","3",""
"Schleswig-Flensburg","SL","89,99","180","+2","21","+1","4",""
"Dithmarschen","HEI","117,86","157","","26","","5",""
"Plön","PLO","119,71","154","","35","","8",""
"Neumünster","NMS","152,23","121","","10","-1","3",""
"Nordfriesland","NF","67,07","111","+1","16","","2",""
"Ostholstein","OH","47,86","96","","14","","0",""
"Flensburg","FL","90,50","81","","6","","3",""
"-"
"Schleswig-Holstein","SH","143,92","4.169","+19","581","+1","161",""

"Datenstand 08.09.2020 22:38:11"
