"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","213,97","669","","131","+1","47",""
"Stormarn","OD","196,72","477","","51","","34",""
"Segeberg","SE","132,83","364","+3","44","","7",""
"Kiel","KI","141,16","350","","72","","10",""
"Rendsburg-Eckernförde","RD","108,05","295","","49","","14",""
"Herzogtum Lauenburg","RZ","147,39","289","","50","","18",""
"Steinburg","IZ","144,36","190","","24","","3",""
"Lübeck","HL","85,98","186","","10","","1",""
"Schleswig-Flensburg","SL","84,21","168","+1","20","","4",""
"Plön","PLO","110,21","142","+2","33","+1","8",""
"Dithmarschen","HEI","95,17","127","","23","","4",""
"Nordfriesland","NF","58,62","97","+2","16","","2",""
"Neumünster","NMS","112,18","89","","10","","3",""
"Ostholstein","OH","42,87","86","","12","","0",""
"Flensburg","FL","64,39","57","","6","","3",""
"-"
"Schleswig-Holstein","SH","124,09","3.586","+8","551","+2","158",""

"Datenstand 08.08.2020 18:56:08"
