"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","174,95","547","+7","111","+2","31","+2"
"Stormarn","OD","161,26","391","+2","39","+1","22",""
"Kiel","KI","106,07","263","","61","","9",""
"Herzogtum Lauenburg","RZ","133,11","261","+1","42","","9",""
"Rendsburg-Eckernförde","RD","86,07","235","+2","44","","14",""
"Segeberg","SE","81,01","222","+3","32","-1","3",""
"Lübeck","HL","76,28","165","+4","8","","1",""
"Schleswig-Flensburg","SL","63,16","126","","12","","3",""
"Plön","PLO","92,36","119","+1","27","","8","+2"
"Steinburg","IZ","63,82","84","+2","18","+1","3",""
"Nordfriesland","NF","47,14","78","+1","12","+1","1",""
"Neumünster","NMS","83,19","66","","7","","1",""
"Ostholstein","OH","32,90","66","+1","6","","0",""
"Dithmarschen","HEI","40,47","54","","9","","3",""
"Flensburg","FL","36,15","32","","6","","2",""
"-"
"Schleswig-Holstein","SH","93,74","2.709","+24","434","+4","110","+4"

"Datenstand 30.04.2020 21:52:55"
