"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","187,74","587","+6","109","+1","29",""
"Stormarn","OD","160,84","390","+1","36","","19",""
"Herzogtum Lauenburg","RZ","131,58","258","+4","42","","8",""
"Kiel","KI","103,25","256","+3","59","+1","9","+2"
"Plön","PLO","90,03","116","+1","27","","6","+1"
"Rendsburg-Eckernförde","RD","84,24","230","","42","","14",""
"Segeberg","SE","82,47","226","","31","","4",""
"Neumünster","NMS","79,41","63","+1","7","","1",""
"Lübeck","HL","73,97","160","+1","8","","1",""
"Schleswig-Flensburg","SL","62,66","125","","12","","3",""
"Steinburg","IZ","62,30","82","","17","","3",""
"Nordfriesland","NF","47,75","79","","11","","1",""
"Dithmarschen","HEI","40,47","54","","9","","3",""
"Flensburg","FL","36,15","32","","6","","2",""
"Ostholstein","OH","31,41","63","","6","","0",""
"-"
"Schleswig-Holstein","SH","94,16","2.721","+17","422","+2","103","+3"

"Datenstand 27.04.2020 20:47:15"
