"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","25","37","4","0"
"05-09","45","44","3","0"
"10-14","55","54","4","0"
"15-19","95","73","4","0"
"20-24","153","146","7","0"
"25-29","174","158","15","0"
"30-34","143","147","14","0"
"35-39","151","121","8","0"
"40-44","135","129","14","0"
"45-49","134","148","21","3"
"50-54","204","186","24","0"
"55-59","192","207","48","6"
"60-64","111","112","43","7"
"65-69","80","84","49","10"
"70-74","71","70","48","18"
"75-79","102","80","88","26"
"80-84","104","95","102","37"
"85-89","68","35","48","26"
"90+","72","20","28","27"

"Datenstand 01.09.2020 19:57:33"
