"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","179,43","561","+1","113","","33",""
"Stormarn","OD","162,49","394","","40","","23",""
"Kiel","KI","106,88","265","","62","","9",""
"Herzogtum Lauenburg","RZ","133,11","261","","42","","9",""
"Rendsburg-Eckernförde","RD","86,07","235","","44","","14",""
"Segeberg","SE","82,47","226","+1","33","","3",""
"Lübeck","HL","76,28","165","","8","","1",""
"Steinburg","IZ","100,29","132","+48","18","","3",""
"Schleswig-Flensburg","SL","63,16","126","","12","","3",""
"Plön","PLO","92,36","119","","27","","8",""
"Nordfriesland","NF","48,35","80","","12","","1",""
"Neumünster","NMS","84,45","67","","7","","1",""
"Ostholstein","OH","32,90","66","","6","","0",""
"Dithmarschen","HEI","40,47","54","","9","","3",""
"Flensburg","FL","36,15","32","","6","","2",""
"-"
"Schleswig-Holstein","SH","96,30","2.783","+50","439","","113",""

"Datenstand 03.05.2020 20:45:11"
