"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","6","14","2","0"
"05-09","12","14","0","0"
"10-14","11","9","3","0"
"15-19","50","41","3","0"
"20-24","98","77","4","0"
"25-29","123","98","12","0"
"30-34","89","100","9","0"
"35-39","104","75","5","0"
"40-44","84","85","8","0"
"45-49","99","95","17","2"
"50-54","168","148","21","0"
"55-59","163","164","39","4"
"60-64","93","90","36","3"
"65-69","71","68","41","7"
"70-74","63","58","40","13"
"75-79","84","72","71","23"
"80-84","92","80","88","29"
"85-89","53","29","37","20"
"90+","54","13","23","21"

"Datenstand 07.05.2020 20:47:58"
