"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","191,90","600","+1","129","+4","40","+3"
"Stormarn","OD","169,50","411","","51","+1","29",""
"Segeberg","SE","110,21","302","+3","36","","4",""
"Kiel","KI","112,12","278","","64","","9",""
"Herzogtum Lauenburg","RZ","135,66","266","","47","+1","15",""
"Rendsburg-Eckernförde","RD","92,30","252","","45","","14",""
"Steinburg","IZ","129,93","171","","19","","3",""
"Lübeck","HL","76,74","166","+1","8","","1",""
"Schleswig-Flensburg","SL","66,16","132","+2","14","","3",""
"Plön","PLO","93,14","120","","27","","8",""
"Nordfriesland","NF","50,77","84","","13","","1",""
"Neumünster","NMS","99,58","79","","9","","2",""
"Ostholstein","OH","33,40","67","","6","","0",""
"Dithmarschen","HEI","44,21","59","","13","","3",""
"Flensburg","FL","38,41","34","","6","","2",""
"-"
"Schleswig-Holstein","SH","104,54","3.021","+7","487","+6","134","+3"

"Datenstand 20.05.2020 19:57:59"
