"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","211,09","660","+2","130","","47",""
"Stormarn","OD","193,84","470","+4","51","","34",""
"Segeberg","SE","131,01","359","+2","44","","7",""
"Kiel","KI","136,32","338","+4","74","+1","10",""
"Herzogtum Lauenburg","RZ","143,82","282","+2","49","","17",""
"Rendsburg-Eckernförde","RD","102,92","281","+2","49","+2","14",""
"Steinburg","IZ","144,36","190","+1","24","","3",""
"Lübeck","HL","85,52","185","+3","10","","1",""
"Schleswig-Flensburg","SL","82,71","165","","19","","4",""
"Plön","PLO","107,11","138","+1","32","","8",""
"Dithmarschen","HEI","94,42","126","+1","23","","4",""
"Nordfriesland","NF","57,41","95","","16","","2",""
"Ostholstein","OH","42,87","86","","12","","0",""
"Neumünster","NMS","105,88","84","","10","","3","+1"
"Flensburg","FL","64,39","57","","6","","3",""
"-"
"Schleswig-Holstein","SH","121,67","3.516","+22","549","+3","157","+1"

"Datenstand 04.08.2020 19:34:11"
