"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","171,43","536","+7","108","+1","29","+1"
"Stormarn","OD","161,26","391","+1","37","+1","19",""
"Kiel","KI","104,86","260","+5","60","+1","9",""
"Herzogtum Lauenburg","RZ","131,58","258","","42","","9","+1"
"Rendsburg-Eckernförde","RD","84,97","232","+2","43","+1","14",""
"Segeberg","SE","79,19","217","+3","30","","3",""
"Lübeck","HL","74,43","161","+1","8","","1",""
"Schleswig-Flensburg","SL","63,16","126","+2","12","","3",""
"Plön","PLO","90,81","117","+1","27","","6",""
"Steinburg","IZ","62,30","82","","17","","3",""
"Nordfriesland","NF","46,54","77","","11","","1",""
"Neumünster","NMS","81,93","65","+2","7","","1",""
"Ostholstein","OH","31,91","64","+1","6","","0",""
"Dithmarschen","HEI","40,47","54","","9","","3",""
"Flensburg","FL","36,15","32","","6","","2",""
"-"
"Schleswig-Holstein","SH","92,46","2.672","+25","423","+4","103","+2"

"Datenstand 28.04.2020 20:07:54"
