"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","197,66","618","+5","130","","46",""
"Stormarn","OD","178,58","433","","50","","34",""
"Segeberg","SE","128,09","351","","43","","7",""
"Kiel","KI","124,22","308","+3","68","+1","10",""
"Herzogtum Lauenburg","RZ","138,21","271","","48","","17",""
"Rendsburg-Eckernförde","RD","94,86","259","","46","","14",""
"Steinburg","IZ","143,60","189","","24","","3",""
"Lübeck","HL","82,75","179","","10","","1",""
"Schleswig-Flensburg","SL","80,20","160","","18","","4",""
"Plön","PLO","93,91","121","","27","","8",""
"Nordfriesland","NF","55,60","92","","15","","2","+1"
"Neumünster","NMS","98,32","78","","9","","2",""
"Dithmarschen","HEI","57,70","77","","17","","4",""
"Ostholstein","OH","38,39","77","","7","","0",""
"Flensburg","FL","54,23","48","","6","","3",""
"-"
"Schleswig-Holstein","SH","112,84","3.261","+8","518","+1","155","+1"

"Datenstand 19.07.2020 18:15:33"
