"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","12","19","3","0"
"05-09","20","24","2","0"
"10-14","29","25","3","0"
"15-19","63","50","4","0"
"20-24","119","95","4","0"
"25-29","136","124","14","0"
"30-34","114","121","12","0"
"35-39","124","93","5","0"
"40-44","111","101","10","0"
"45-49","113","127","21","3"
"50-54","179","165","24","0"
"55-59","181","190","45","6"
"60-64","106","103","42","7"
"65-69","76","78","48","9"
"70-74","66","66","45","18"
"75-79","95","76","81","26"
"80-84","101","90","98","36"
"85-89","64","35","46","26"
"90+","69","18","25","25"

"Datenstand 28.07.2020 19:48:07"
