"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","14","23","3","0"
"05-09","28","28","2","0"
"10-14","38","31","4","0"
"15-19","70","57","4","0"
"20-24","127","106","4","0"
"25-29","148","132","14","0"
"30-34","121","129","14","0"
"35-39","130","101","6","0"
"40-44","120","108","13","0"
"45-49","120","132","20","3"
"50-54","187","174","24","0"
"55-59","184","197","46","6"
"60-64","107","104","42","7"
"65-69","76","81","49","10"
"70-74","69","67","48","18"
"75-79","97","78","84","26"
"80-84","101","92","100","37"
"85-89","66","35","47","26"
"90+","71","18","25","25"

"Datenstand 06.08.2020 18:22:28"
