"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","10","13","2","0"
"05-09","15","14","0","0"
"10-14","10","10","3","0"
"15-19","49","35","3","0"
"20-24","95","72","4","0"
"25-29","121","91","11","0"
"30-34","85","88","8","0"
"35-39","98","70","4","0"
"40-44","83","74","6","0"
"45-49","93","80","14","2"
"50-54","159","144","19","0"
"55-59","153","158","31","3"
"60-64","93","90","35","2"
"65-69","69","66","39","6"
"70-74","62","56","39","12"
"75-79","80","70","67","20"
"80-84","89","78","84","26"
"85-89","48","28","33","16"
"90+","50","11","20","16"

"Datenstand 27.04.2020 20:47:15"
