"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","192,22","601","-1","129","","46",""
"Stormarn","OD","174,87","424","","50","-1","33",""
"Segeberg","SE","122,25","335","+2","42","","7",""
"Kiel","KI","116,56","289","+2","67","+1","10",""
"Herzogtum Lauenburg","RZ","137,19","269","","47","","16",""
"Rendsburg-Eckernförde","RD","93,77","256","","47","","14",""
"Steinburg","IZ","139,04","183","","23","","3",""
"Lübeck","HL","78,13","169","","9","","1",""
"Schleswig-Flensburg","SL","79,70","159","","18","","4",""
"Plön","PLO","93,14","120","","27","","8",""
"Nordfriesland","NF","53,79","89","","13","","1",""
"Neumünster","NMS","98,32","78","","9","","2",""
"Dithmarschen","HEI","56,20","75","+1","16","+1","4",""
"Ostholstein","OH","33,90","68","","7","","0",""
"Flensburg","FL","54,23","48","","6","","3",""
"-"
"Schleswig-Holstein","SH","109,45","3.163","+4","510","+1","152",""

"Datenstand 01.07.2020 18:38:50"
