"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","6","13","2","0"
"05-09","12","14","0","0"
"10-14","11","10","3","0"
"15-19","50","38","3","0"
"20-24","96","76","4","0"
"25-29","121","96","12","0"
"30-34","88","94","9","0"
"35-39","101","74","4","0"
"40-44","82","80","8","0"
"45-49","97","89","15","2"
"50-54","165","144","20","0"
"55-59","159","160","33","3"
"60-64","91","90","36","3"
"65-69","71","66","39","7"
"70-74","62","58","40","13"
"75-79","83","71","71","22"
"80-84","91","80","87","29"
"85-89","50","29","35","20"
"90+","54","12","22","19"

"Datenstand 04.05.2020 23:53:21"
