"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","191,90","600","","129","","40",""
"Stormarn","OD","169,50","411","","51","","29",""
"Segeberg","SE","110,57","303","+1","36","","4",""
"Kiel","KI","112,12","278","","64","","9",""
"Herzogtum Lauenburg","RZ","135,66","266","","47","","15",""
"Rendsburg-Eckernförde","RD","92,30","252","","45","","14",""
"Steinburg","IZ","129,93","171","","19","","3",""
"Lübeck","HL","76,74","166","","8","","1",""
"Schleswig-Flensburg","SL","74,18","148","+16","14","","3",""
"Plön","PLO","93,14","120","","27","","8",""
"Nordfriesland","NF","51,37","85","+1","13","","1",""
"Neumünster","NMS","99,58","79","","9","","2",""
"Ostholstein","OH","33,40","67","","6","","0",""
"Dithmarschen","HEI","44,21","59","","13","","3",""
"Flensburg","FL","38,41","34","","6","","2",""
"-"
"Schleswig-Holstein","SH","105,16","3.039","+18","487","","134",""

"Datenstand 21.05.2020 20:28:57"
