"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","6","13","2","0"
"05-09","12","14","0","0"
"10-14","11","9","3","0"
"15-19","50","38","3","0"
"20-24","95","76","4","0"
"25-29","121","96","12","0"
"30-34","88","94","9","0"
"35-39","102","74","4","0"
"40-44","82","78","8","0"
"45-49","96","88","15","2"
"50-54","163","143","20","0"
"55-59","158","158","33","3"
"60-64","91","90","36","3"
"65-69","70","66","38","7"
"70-74","62","58","40","12"
"75-79","83","71","70","21"
"80-84","91","80","87","28"
"85-89","50","29","34","20"
"90+","54","12","21","17"

"Datenstand 03.05.2020 20:45:11"
