"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","182,95","572","","117","","36",""
"Stormarn","OD","164,14","398","","42","","26",""
"Kiel","KI","110,91","275","+1","65","+1","9",""
"Herzogtum Lauenburg","RZ","134,64","264","","45","","11",""
"Segeberg","SE","92,33","253","","34","","3",""
"Rendsburg-Eckernförde","RD","89,37","244","+2","45","","14",""
"Steinburg","IZ","126,13","166","+30","19","","3",""
"Lübeck","HL","76,28","165","","8","","1",""
"Schleswig-Flensburg","SL","63,66","127","","12","","3",""
"Plön","PLO","92,36","119","","27","","8",""
"Nordfriesland","NF","48,95","81","","13","","1",""
"Neumünster","NMS","93,28","74","+5","8","","2",""
"Ostholstein","OH","32,90","66","","6","","0",""
"Dithmarschen","HEI","44,21","59","","13","","3",""
"Flensburg","FL","37,28","33","","6","","2",""
"-"
"Schleswig-Holstein","SH","100,21","2.896","+38","460","+1","122",""

"Datenstand 08.05.2020 20:35:41"
