"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","6","14","2","0"
"05-09","12","14","0","0"
"10-14","11","9","3","0"
"15-19","50","39","3","0"
"20-24","96","76","4","0"
"25-29","121","96","12","0"
"30-34","90","94","10","0"
"35-39","102","75","5","0"
"40-44","82","80","8","0"
"45-49","97","90","16","2"
"50-54","166","147","20","0"
"55-59","161","160","36","3"
"60-64","92","90","36","3"
"65-69","71","66","39","7"
"70-74","63","58","40","13"
"75-79","83","71","71","22"
"80-84","91","80","87","29"
"85-89","52","29","37","20"
"90+","54","13","23","20"

"Datenstand 05.05.2020 20:06:51"
