"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","16","27","3","0"
"05-09","32","31","3","0"
"10-14","42","36","4","0"
"15-19","77","60","4","0"
"20-24","131","110","6","0"
"25-29","152","133","14","0"
"30-34","130","131","14","0"
"35-39","133","108","6","0"
"40-44","123","114","13","0"
"45-49","123","137","20","3"
"50-54","190","177","24","0"
"55-59","187","198","47","6"
"60-64","107","106","42","7"
"65-69","78","81","49","10"
"70-74","70","70","48","18"
"75-79","98","79","85","26"
"80-84","101","93","101","37"
"85-89","67","35","48","26"
"90+","71","19","26","25"

"Datenstand 11.08.2020 18:34:25"
