"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","8","15","2","0"
"05-09","12","15","1","0"
"10-14","14","14","3","0"
"15-19","54","45","3","0"
"20-24","109","89","4","0"
"25-29","126","116","13","0"
"30-34","101","110","9","0"
"35-39","113","79","5","0"
"40-44","95","92","7","0"
"45-49","106","110","18","3"
"50-54","173","158","24","0"
"55-59","176","182","43","6"
"60-64","101","98","40","5"
"65-69","74","71","45","9"
"70-74","65","62","42","17"
"75-79","92","74","81","25"
"80-84","100","88","95","34"
"85-89","60","35","43","24"
"90+","65","16","24","25"

"Datenstand 09.06.2020 18:49:28"
