"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","192,86","603","+2","130","+1","46",""
"Stormarn","OD","176,93","429","+2","50","","33",""
"Segeberg","SE","123,35","338","+1","42","","7",""
"Kiel","KI","118,98","295","+1","66","","10",""
"Herzogtum Lauenburg","RZ","137,19","269","","47","","17","+1"
"Rendsburg-Eckernförde","RD","94,13","257","","46","","14",""
"Steinburg","IZ","142,84","188","-1","23","","3",""
"Lübeck","HL","81,36","176","","9","","1",""
"Schleswig-Flensburg","SL","79,70","159","","18","","4",""
"Plön","PLO","93,91","121","","27","","8",""
"Nordfriesland","NF","53,79","89","","13","","1",""
"Neumünster","NMS","98,32","78","","9","","2",""
"Dithmarschen","HEI","56,95","76","","16","","4",""
"Ostholstein","OH","33,90","68","","7","","0",""
"Flensburg","FL","54,23","48","","6","","3",""
"-"
"Schleswig-Holstein","SH","110,53","3.194","+5","509","+1","153","+1"

"Datenstand 07.07.2020 18:47:09"
