"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","7","14","2","0"
"05-09","12","15","1","0"
"10-14","15","11","3","0"
"15-19","53","44","3","0"
"20-24","101","87","4","0"
"25-29","126","115","13","0"
"30-34","94","110","8","0"
"35-39","112","79","5","0"
"40-44","90","92","8","0"
"45-49","101","109","18","2"
"50-54","171","158","23","0"
"55-59","167","176","41","5"
"60-64","98","95","40","4"
"65-69","73","71","45","9"
"70-74","64","60","41","14"
"75-79","88","74","78","24"
"80-84","97","82","90","31"
"85-89","56","30","40","22"
"90+","58","15","24","23"

"Datenstand 20.05.2020 19:57:59"
