"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","12","19","3","0"
"05-09","21","24","2","0"
"10-14","30","27","3","0"
"15-19","64","50","4","0"
"20-24","119","96","4","0"
"25-29","136","126","14","0"
"30-34","115","122","13","0"
"35-39","124","94","6","0"
"40-44","112","102","10","0"
"45-49","113","126","21","3"
"50-54","180","166","24","0"
"55-59","181","191","45","6"
"60-64","106","103","42","7"
"65-69","76","78","48","9"
"70-74","67","66","46","18"
"75-79","96","76","82","26"
"80-84","101","92","99","36"
"85-89","65","36","48","26"
"90+","69","18","24","25"

"Datenstand 29.07.2020 19:05:44"
