"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","192,54","602","","129","","46",""
"Stormarn","OD","172,80","419","","52","","33",""
"Segeberg","SE","120,43","330","","42","","7",""
"Kiel","KI","113,33","281","","65","","10",""
"Herzogtum Lauenburg","RZ","135,15","265","","47","","16",""
"Rendsburg-Eckernförde","RD","93,40","255","","46","","14",""
"Steinburg","IZ","137,52","181","+1","23","+1","3",""
"Lübeck","HL","76,74","166","","8","","1",""
"Schleswig-Flensburg","SL","79,70","159","","18","","4",""
"Plön","PLO","93,14","120","","27","","8",""
"Nordfriesland","NF","53,79","89","","13","","1",""
"Neumünster","NMS","99,58","79","","9","","2",""
"Ostholstein","OH","33,90","68","","7","","0",""
"Dithmarschen","HEI","47,21","63","","15","","3",""
"Flensburg","FL","49,71","44","","6","","3",""
"-"
"Schleswig-Holstein","SH","108,00","3.121","+1","507","+1","151",""

"Datenstand 15.06.2020 18:44:01"
