"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","12","21","3","0"
"05-09","23","26","2","0"
"10-14","32","29","3","0"
"15-19","66","51","4","0"
"20-24","122","96","4","0"
"25-29","142","126","14","0"
"30-34","120","125","15","0"
"35-39","127","95","6","0"
"40-44","116","106","11","0"
"45-49","117","127","21","3"
"50-54","183","168","24","0"
"55-59","182","194","45","6"
"60-64","107","103","42","7"
"65-69","76","80","48","9"
"70-74","68","67","48","18"
"75-79","97","77","83","26"
"80-84","101","92","99","36"
"85-89","65","35","47","26"
"90+","69","18","24","25"

"Datenstand 01.08.2020 18:22:48"
