"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","230,28","720","+4","133","","47",""
"Stormarn","OD","212,81","516","+1","53","","35",""
"Kiel","KI","165,36","410","+5","78","","11",""
"Segeberg","SE","140,86","386","+4","44","","7",""
"Rendsburg-Eckernförde","RD","115,38","315","","50","","14",""
"Herzogtum Lauenburg","RZ","149,43","293","","50","","18",""
"Lübeck","HL","95,69","207","+3","11","","1",""
"Steinburg","IZ","148,92","196","","25","","3",""
"Schleswig-Flensburg","SL","86,72","173","","20","","4",""
"Plön","PLO","117,97","152","","35","","8",""
"Dithmarschen","HEI","109,41","146","","25","","4",""
"Nordfriesland","NF","60,44","100","+1","16","","2",""
"Neumünster","NMS","122,27","97","","10","","3",""
"Ostholstein","OH","45,87","92","+1","12","","0",""
"Flensburg","FL","77,95","69","+2","6","","3",""
"-"
"Schleswig-Holstein","SH","133,99","3.872","+21","568","","160",""

"Datenstand 20.08.2020 20:34:06"
