"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","194,78","609","","130","","46",""
"Stormarn","OD","178,58","433","","50","","34",""
"Segeberg","SE","127,73","350","+1","43","","7",""
"Kiel","KI","121,80","302","+1","67","","10",""
"Herzogtum Lauenburg","RZ","138,21","271","","48","","17",""
"Rendsburg-Eckernförde","RD","94,50","258","","46","","14",""
"Steinburg","IZ","143,60","189","","24","","3",""
"Lübeck","HL","82,75","179","+2","10","+1","1",""
"Schleswig-Flensburg","SL","80,20","160","-1","18","","4",""
"Plön","PLO","93,91","121","","27","","8",""
"Nordfriesland","NF","54,39","90","","14","","1",""
"Neumünster","NMS","98,32","78","","9","","2",""
"Dithmarschen","HEI","57,70","77","","17","","4",""
"Ostholstein","OH","36,39","73","","7","","0",""
"Flensburg","FL","54,23","48","","6","","3",""
"-"
"Schleswig-Holstein","SH","112,05","3.238","+3","516","+1","154",""

"Datenstand 16.07.2020 19:18:04"
