"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","22","32","3","0"
"05-09","40","38","3","0"
"10-14","51","51","4","0"
"15-19","86","69","4","0"
"20-24","141","130","7","0"
"25-29","167","146","15","0"
"30-34","135","137","14","0"
"35-39","147","115","8","0"
"40-44","128","124","14","0"
"45-49","132","145","21","3"
"50-54","201","182","24","0"
"55-59","189","203","47","6"
"60-64","108","109","43","7"
"65-69","80","83","49","10"
"70-74","70","70","48","18"
"75-79","100","79","87","26"
"80-84","102","95","102","37"
"85-89","67","35","48","26"
"90+","72","19","28","27"

"Datenstand 23.08.2020 19:58:05"
